date,ad_unit,adx_impressions,adx_revenue,avg_adx_cpm
2024/1/31,s_tennisclassic_320x100_sp-top-320x100-ATF_27986,20,1,74
2024/1/31,s_tennismagazine_300x100_overlay_28010,3566,279,78
2024/1/31,s_tennismagazine_300x250_sp-article-300x250-underarticle-3rd_28010,250,11,43
2024/1/31,s_tennismagazine_300x250_sp-article-300x250-underarticle-1st_28010,105,3,27
2024/1/31,s_tennismagazine_300x250_sp-article-300x250-underarticle-2nd_28010,385,19,51
2024/1/31,s_tennismagazine_300x250_sp-article-300x250-underarticle-4th_28010,269,11,40
2024/1/31,s_tennismagazine_300x250_sp-gallery-300x250-underarticle-1st_28010,140,5,39
2024/1/31,s_tennismagazine_300x250_sp-gallery-300x250-underarticle-2nd_28010,110,4,39
2024/1/31,s_tennismagazine_300x250_sp-pre-article-300x250-2nd_28010,643,34,52
2024/1/31,s_tennismagazine_300x250_sp-top-300x250-1st_28010,44,1,15
2024/1/31,s_tennismagazine_300x250_sp-top-300x250-2nd_28010,10,0,14
2024/1/31,s_tennismagazine_320x100_sp-article-320x100-ATF_28010,2503,111,44
2024/1/31,s_tennismagazine_320x100_sp-gallery-320x100-underpic_28010,165,30,181
2024/1/31,s_tennismagazine_320x100_sp-gallery-320x100-ATF_28010,118,10,83
2024/1/31,s_tennismagazine_320x100_sp-pre-article-320x100-ATF_28010,3103,182,59
2024/1/31,s_tennismagazine_320x100_sp-top-320x100-ATF_28010,60,3,44
2024/1/31,s_techinsight.p_0x0_ranikng-middle_24723,3261,9,3
2024/1/31,s_techinsight.p_0x0_ranikng-ue_24723,3859,10,3
2024/1/31,s_techinsight.p_0x0_ranking_24723,3184,9,3
2024/1/31,s_techinsight.p_1x1_webrewards_24723,1049,1002,955
2024/1/31,s_techinsight.p_300x250_kijinakabrowsi_24723,32091,1156,36
2024/1/31,s_techinsight.p_300x250_kijisita_24723,10445,590,57
2024/1/31,s_techinsight.p_300x250_header_24723,11428,485,42
2024/1/31,s_techinsight.p_300x250_listpage4_24723,156,6,36
2024/1/31,s_techinsight.p_300x250_listpage5_24723,103,4,34
2024/1/31,s_techinsight.p_300x250_listpage3_24723,91,3,33
2024/1/31,s_techinsight.p_300x250_middle1st_24723,9693,391,40
2024/1/31,s_techinsight.p_300x250_rectangle-next-html_24723,4119,303,74
2024/1/31,s_techinsight.p_320x100_overlay_24723,11101,389,35
2024/1/31,s_tfurusato_300x250_other-than-site-top1_29709,890,424,477
2024/1/31,s_tfurusato_300x250_site-campaign1_29709,37,20,538
2024/1/31,s_tfurusato_300x250_site-top1_29709,76,35,465
2024/1/31,s_the-audience_300x250_belowpicture_27689,3417,266,78
2024/1/31,s_the-audience_300x250_kijisita_27689,2852,102,36
2024/1/31,s_theWORLD.magazinegate-sp_1x1_offerwall_24192,48,16,339
2024/1/31,s_theWORLD.magazinegate-sp_300x250_article-underphoto_24192,2826,110,39
2024/1/31,s_theWORLD.magazinegate-sp_300x250_column-tokusyu_24192,989,18,18
2024/1/31,s_theWORLD.magazinegate-sp_300x250_header_24192,2109,112,53
2024/1/31,s_theWORLD.magazinegate-sp_300x250_information_24192,47,1,19
2024/1/31,s_theWORLD.magazinegate-sp_300x250_keyword1_24192,204,4,17
2024/1/31,s_theWORLD.magazinegate-sp_300x250_keyword2_24192,169,3,20
2024/1/31,s_theWORLD.magazinegate-sp_300x250_kijiichiranue1_24192,293,6,20
2024/1/31,s_theWORLD.magazinegate-sp_300x250_kijiichiranue2_24192,339,8,23
2024/1/31,s_theWORLD.magazinegate-sp_300x250_kijinaka-1_24192,2778,162,58
2024/1/31,s_theWORLD.magazinegate-sp_300x250_kijinaka-2_24192,3086,203,66
2024/1/31,s_theWORLD.magazinegate-sp_300x250_kijisita_24192,3046,233,76
2024/1/31,s_theWORLD.magazinegate-sp_300x250_ranking_24192,49,1,24
2024/1/31,s_theWORLD.magazinegate-sp_300x250_rensai_24192,749,14,19
2024/1/31,s_theWORLD.magazinegate-sp_320x100_overlay_24192,3802,281,74
2024/1/31,s_tierranking_320x100_HeaderB_31518,8111,36,4
2024/1/31,s_tierranking_320x100_middle-banner_31518,7728,32,4
2024/1/31,s_tierranking_320x100_footer-gamy_31518,8868,39,4
2024/1/31,s_tierranking_320x50_HeaderA_31518,709,3,4
2024/1/31,s_tierranking_320x50_middle-banner1_31518,553,2,4
2024/1/31,s_tierranking_320x50_middle-banner2_31518,376,2,4
2024/1/31,s_tsample_300x250_InterstitialADX_30196,476,2590,5442
2024/1/31,s_tsample_300x250_all-pages-site-under1_30196,62026,13217,213
2024/1/31,s_tsample_300x250_beginners-site-under1_30196,114,94,823
2024/1/31,s_tsample_300x250_scheduled-publishing-site-under1_30196,1533,18,12
2024/1/31,s_tsample_300x250_site-campaign1_30196,3,0,135
2024/1/31,s_tsample_300x250_thanks_30196,932,1722,1847
2024/1/31,s_tsite_300x250_motto-tamaru-site-under1_28670,1310,22,17
2024/1/31,s_tsite_300x250_oshiraselist-site-under1_28670,72270,123246,1705
2024/1/31,s_tsite_300x250_kattemiru-twitter-instant-win1_28670,273,53,193
2024/1/31,s_tsite_300x250_lifestyle-birthday-campaign1_28670,2302,2113,918
2024/1/31,s_tsite_300x250_lifestyle_28670,615,451,733
2024/1/31,s_tsite_300x250_shouhin-koukan-toppage1_28670,10353,1261,122
2024/1/31,s_tsite_300x250_twitter-campaign1_28670,1,0,184
2024/1/31,s_tsite_300x250_tcoupon-site-under1_28670,5162,669,130
2024/1/31,s_tsite_300x250_tpoint-koukan-site-under1_28670,128,17,130
2024/1/31,s_tsite_300x250_tsukaeru-service-site-under1_28670,227,22,98
2024/1/31,s_tsite_320x100_shouhin-koukan-toppagemiddle_28670,7023,350,50
2024/1/31,s_tsurinews_300x250_under-intro_26181,9591,966,101
